Q2,Bjorken X,t,Ebeam,Theta_e,Eprime,Theta_p,p_pi,k_pi,W,Em,Pm,Mm,MMa
4.520000,0.366061,0.176472,10.700000,18.425718,4.120000,13.711691,6.484457,1.861901,2.950935,1.032313,0.663813,0.790584,11.341658
4.520000,0.366618,0.177127,10.700000,18.403203,4.130000,14.338739,6.474106,2.079675,2.947753,1.032662,0.724777,0.735588,11.338275
4.520000,0.367177,0.177786,10.700000,18.380771,4.140000,14.946907,6.463752,2.285760,2.944569,1.033013,0.788250,0.667666,11.334391
4.520000,0.367738,0.178449,10.700000,18.358420,4.150000,15.535821,6.453397,2.482949,2.941380,1.033366,0.854137,0.581632,11.329971
4.520000,0.368300,0.179115,10.700000,18.336151,4.160000,16.105183,6.443039,2.673098,2.938189,1.033721,0.922341,0.466762,11.324979
4.520000,0.368864,0.179785,10.700000,18.313963,4.170000,16.654773,6.432680,2.857503,2.934994,1.034079,0.992767,0.289364,11.319381
4.520000,0.369430,0.180459,10.700000,18.291855,4.180000,17.184438,6.422318,3.037108,2.931795,1.034438,1.065320,0.000000,11.313144
4.520000,0.369997,0.181137,10.700000,18.269826,4.190000,17.694089,6.411954,3.212616,2.928593,1.034799,1.139903,0.000000,11.306235
4.520000,0.370567,0.181818,10.700000,18.247878,4.200000,18.183701,6.401589,3.384570,2.925387,1.035162,1.216423,0.000000,11.298624
4.520000,0.371138,0.182503,10.700000,18.226008,4.210000,18.653301,6.391221,3.553391,2.922178,1.035527,1.294787,0.000000,11.290280
4.520000,0.371710,0.183193,10.700000,18.204217,4.220000,19.102970,6.380851,3.719415,2.918966,1.035894,1.374903,0.000000,11.281174
4.520000,0.372285,0.183886,10.700000,18.182503,4.230000,19.532835,6.370480,3.882913,2.915750,1.036264,1.456680,0.000000,11.271278
4.520000,0.372861,0.184583,10.700000,18.160867,4.240000,19.943062,6.360106,4.044106,2.912530,1.036635,1.540030,0.000000,11.260568
4.520000,0.373439,0.185284,10.700000,18.139309,4.250000,20.333860,6.349729,4.203176,2.909307,1.037009,1.624865,0.000000,11.249017
4.520000,0.374019,0.185989,10.700000,18.117826,4.260000,20.705467,6.339351,4.360273,2.906080,1.037385,1.711100,0.000000,11.236603
4.520000,0.374601,0.186698,10.700000,18.096420,4.270000,21.058153,6.328971,4.515525,2.902849,1.037763,1.798653,0.000000,11.223304
4.520000,0.375184,0.187412,10.700000,18.075090,4.280000,21.392212,6.318588,4.669038,2.899615,1.038143,1.887442,0.000000,11.209099
4.520000,0.375770,0.188129,10.700000,18.053835,4.290000,21.707960,6.308203,4.820903,2.896377,1.038525,1.977388,0.000000,11.193970
4.520000,0.376357,0.188850,10.700000,18.032655,4.300000,22.005735,6.297816,4.971197,2.893136,1.038909,2.068415,0.000000,11.177899
4.520000,0.376946,0.189576,10.700000,18.011549,4.310000,22.285886,6.287427,5.119987,2.889891,1.039296,2.160448,0.000000,11.160871
4.520000,0.377537,0.190306,10.700000,17.990517,4.320000,22.548779,6.277035,5.267330,2.886643,1.039685,2.253414,0.000000,11.142869
4.520000,0.378129,0.191040,10.700000,17.969558,4.330000,22.794788,6.266642,5.413274,2.883391,1.040076,2.347244,0.000000,11.123882
4.520000,0.378724,0.191779,10.700000,17.948673,4.340000,23.024297,6.256246,5.557863,2.880135,1.040470,2.441870,0.000000,11.103897
4.520000,0.379320,0.192521,10.700000,17.927860,4.350000,23.237694,6.245847,5.701133,2.876875,1.040866,2.537226,0.000000,11.082903
4.520000,0.379918,0.193268,10.700000,17.907120,4.360000,23.435371,6.235447,5.843117,2.873612,1.041264,2.633248,0.000000,11.060891
4.520000,0.380519,0.194020,10.700000,17.886451,4.370000,23.617724,6.225043,5.983843,2.870345,1.041664,2.729875,0.000000,11.037853
4.520000,0.381121,0.194776,10.700000,17.865854,4.380000,23.785148,6.214638,6.123337,2.867074,1.042067,2.827049,0.000000,11.013781
4.520000,0.381725,0.195536,10.700000,17.845328,4.390000,23.938037,6.204230,6.261618,2.863800,1.042472,2.924711,0.000000,10.988669
4.520000,0.382331,0.196301,10.700000,17.824872,4.400000,24.076785,6.193820,6.398708,2.860521,1.042880,3.022807,0.000000,10.962513
4.520000,0.382938,0.197070,10.700000,17.804486,4.410000,24.201780,6.183408,6.534621,2.857239,1.043290,3.121284,0.000000,10.935308
4.520000,0.383548,0.197844,10.700000,17.784171,4.420000,24.313410,6.172992,6.669374,2.853954,1.043702,3.220089,0.000000,10.907052
4.520000,0.384160,0.198622,10.700000,17.763924,4.430000,24.412053,6.162575,6.802978,2.850664,1.044117,3.319175,0.000000,10.877742
4.520000,0.384774,0.199405,10.700000,17.743747,4.440000,24.498087,6.152155,6.935446,2.847371,1.044534,3.418494,0.000000,10.847377
4.520000,0.385389,0.200193,10.700000,17.723638,4.450000,24.571880,6.141733,7.066787,2.844074,1.044954,3.517999,0.000000,10.815957
4.520000,0.386007,0.200985,10.700000,17.703598,4.460000,24.633794,6.131308,7.197011,2.840773,1.045376,3.617647,0.000000,10.783481
4.520000,0.386626,0.201783,10.700000,17.683625,4.470000,24.684186,6.120880,7.326125,2.837468,1.045801,3.717395,0.000000,10.749952
4.520000,0.387248,0.202584,10.700000,17.663720,4.480000,24.723404,6.110450,7.454136,2.834159,1.046228,3.817203,0.000000,10.715371
4.520000,0.387872,0.203391,10.700000,17.643882,4.490000,24.751789,6.100017,7.581050,2.830847,1.046658,3.917032,0.000000,10.679741
4.520000,0.388497,0.204203,10.700000,17.624111,4.500000,24.769674,6.089582,7.706874,2.827530,1.047091,4.016844,0.000000,10.643064
4.520000,0.389125,0.205019,10.700000,17.604405,4.510000,24.777384,6.079144,7.831611,2.824210,1.047526,4.116603,0.000000,10.605344
4.520000,0.389755,0.205841,10.700000,17.584766,4.520000,24.775235,6.068704,7.955266,2.820886,1.047963,4.216274,0.000000,10.566586
4.520000,0.390386,0.206667,10.700000,17.565193,4.530000,24.763537,6.058261,8.077843,2.817558,1.048404,4.315824,0.000000,10.526794
4.520000,0.391020,0.207498,10.700000,17.545684,4.540000,24.742591,6.047815,8.199344,2.814226,1.048847,4.415221,0.000000,10.485973
